-111.161	54.42	34	0.1
-115.302	52.235	53	0.1
-120.328	56.224	40	0.1
-119.397	59.302	45	0.1
-123.701	59.323	59	0.05
-121.207	56.107	55	0.05
-123.65	57.165	42	0.05
-113.515	54.005	58	0.05
-110.989	56.213	60	0.1
-118.17	55.56	87	0.05
-118.75	56.14	170	0.05
-114.547	53.187	34	0.1
-114.155	50.596	47	0.2
-115.282	53.387	45	0.1
-115.59	52.47	42	0.1
-114.201	52.252	47	0.2
-119.574	55.136	44	0.2
-118.17	55.56	25	0.2
-115.33	56.02	27	0.05
-118.75	56.14	20	0.2
-121.65	56.8	36	0.2
-119.3	59.24	51	0.2
-119.2	59.29	63	0.1
-119.08	59.49	69	0.05
-113.542	57.228	40	0.05
-114.629	56.909	21	0.05
-114.596	56.866	44	0.05
-114.477	56.547	34	0.05
-111.945	53.137	166	0.05
-110.541	55.073	11	0.05
-114.378	56.694	24	0.05
-114.642	55.923	19	0.05
-114.377	56.702	139	0.05
-114.597	56.851	46	0.05
-114.377	56.702	39	0.05
-120.738	55.992	42	0.05
-114.582	56.971	29	0.05
-114.596	56.866	164	0.05
-110.53	55.069	25	0.05
-110.541	55.071	55	0.05
-110.557	55.104	50	0.05
-114.553	56.708	53	0.05
-114.64	51.5	55	0.3
-116.16	53.33	43	0.3
-114.42	53.95	45	0.05
-117.14	57.65	65	0.05
-121.355	61.025	95	0.1
-123.11	48.638	117	0.3
-123.69	49.782	165	0.2
-123.052	48.933	0	0.2
-123.532	48.504	137	0.2
-122.939	48.169	151	0.2
-126.944	49.585	7	0.2
-122.072	48.748	159	0.2
-123.719	49.271	178	0.2
-121.672	59.285	138	0.05
-122.922	59.702	147	0.1
-123.918	60.402	24	0.05
-121.597	58.794	112	0.05
-122.072	59.469	131	0.05
-123.059	59.652	32	0.2
-121.284	58.827	62	0.2
-122.097	59.856	48	0.1
-121.884	59.548	31	0.05
-124.297	59.965	22	0.1
-121.429	60.15	75	0.05
-121.072	58.823	93	0.05
-124.566	59.765	73	0.2
-124.828	59.215	84	0.1
-124.291	59.973	145	0.05
-121.978	59.223	72	0.1
-123.078	59.573	40	0.05
-123.203	59.406	98	0.1
-123.141	59.498	176	0.1
-122.25	61.191	77	0.2
-122.614	60.88	74	0.1
-120.216	58.248	159	0.1
-121.122	58.64	146	0.3
-123.047	58.91	82	0.1
-121.181	60.349	80	0.05
-123.817	60.398	155	0.1
-123.867	60.455	44	0.2
