%%%% from Lund-Snee and Zoback, 2020 Nature Communicaitons (See supplemental information)
%Lon	Lat	Regime	SHmax	Quality 
%%%%%%%%Regime: normal=0.5, strike-slip=1.5, thrust=2.5
%%%%%%%%Quality: A=0.3, B=0.2, C=0.1, D+=0.075, D=0.05
-119.08	39.58	0	28.03	0.2
-108.74	41.07	0	122.5831	0.2
-108.78	41.05	0	170.6	0.2
-115.41	40.87	0	176.29	0.2
-110.06	41.4	0	122.4762	0.2
-110.12	40.05	0	130	0.1
-110.02	40.08	0	135	0.1
-119.09	39.6	0	27.0473	0.1
-104.95	37.24	0	147.46	0.05
-104.86	37.18	0	117.4	0.05
-109.96	40.1	0	90	0.05
-110.09	40.02	0	133.4	0.05
-110.07	40.06	0	95.7	0.05
-110.05	40.03	0	106.85	0.05
-108.74	41.05	0	174.5348	0.05
-105.85	43.56	0	9.6	0.05
-105.42	43.25	0	45	0.05
-110.03	41.45	0	115.8215	0.05
-103.38	38.65	0	68.9767	0.3
-103.01	38.27	0	75.9411	0.3
-104.82	37.05	0	167.102	0.3
-102.57	30.78	0	135.832	0.3
-110.07	40.08	0	108.8	0.3
-112.52	48.61	0	48.3	0.3
-103.91	48.65	0	47.3	0.3
-109.91	40.07	0	103.7	0.3
-110.15	40.15	0	95.2	0.3
-110	40.24	0	110.4	0.3
-110.33	40.21	0	7.06	0.3
-108.65	41.12	0	139.5	0.3
-105.68	44	0	120.7	0.3
-105.08	43.12	0	70.5	0.3
-106	43.58	0	106.4	0.3
-105.42	43.25	0	77	0.3
-108.62	41	0	101.9548	0.3
-104.85	37.24	0	21.9605	0.2
-104.93	37.24	0	25.3109	0.2
-104.86	37.1	0	7.7887	0.2
-107.79	40.58	0	115.035	0.2
-90.45	32.36	0	77.066	0.2
-102.64	30.89	0	134.81	0.2
-102.6	30.8	0	141.547	0.2
-110.06	40.05	0	105	0.2
-110.13	40.01	0	133.9	0.2
-112.47	48.63	0	54.7	0.2
-110.22	40.2	0	175.8	0.2
-109.97	40.25	0	115.9	0.2
-109.95	40.05	0	115.6	0.2
-110.26	40.22	0	7	0.2
-110.36	40.27	0	9.29	0.2
-110.31	40.21	0	12	0.2
-108.79	41.04	0	146.7	0.2
-108.66	41.11	0	136.4	0.2
-115.43	40.85	0	109.04	0.2
-115.15	41.15	0	23.2	0.2
-118.15	40.99	0	25.6	0.2
-118.13	41	0	21.7	0.2
-112.89	38.5	0	23.788	0.2
-105.4	43.14	0	85.31	0.2
-105.49	43.68	0	85.4	0.2
-105.69	43.8	0	107.5	0.2
-105.4	43.19	0	66.9	0.2
-105.45	43.65	0	110	0.2
-105.58	43.75	0	105.3	0.2
-105.05	43.05	0	91.8	0.2
-101.17	31.13	0	70	0.2
-104.94	37.21	0	28.5239	0.1
-104.91	37.27	0	6.8512	0.1
-110.21	40.03	0	87.4	0.1
-112.78	48.78	0	46.3	0.1
-110.04	40.07	0	107.2	0.1
-110.12	40.05	0	99.5	0.1
-109.96	40.1	0	88	0.1
-110.2	40.03	0	136.6	0.1
-110.16	40.34	0	126.5	0.1
-108.84	32.14	0	19.9358	0.1
-108.84	32.14	0	29.6793	0.1
-108.65	41.13	0	137	0.1
-105.61	43.61	0	119.1	0.1
-105.48	43.77	0	85	0.1
-105.44	43.37	0	92.8	0.1
-105.63	43.8	0	110.5	0.1
-110.08	41.42	0	129.9877	0.1
-101.19	31.14	0	76	0.1
-104.78	37.3	0	45.0097	0.05
-104.96	37.24	0	171.782	0.05
-110.06	40.24	0	131.8	0.05
-110.18	40.06	0	99.3	0.05
-110.16	40.04	0	71.6	0.05
-110.04	40.21	0	21.92	0.05
-110.31	40.16	0	37.5	0.05
-110.3	40.25	0	168.1	0.05
-108.84	32.14	0	5.8999	0.05
-108.84	32.14	0	152.2711	0.05
-119.08	39.57	0	112.2	0.05
-108.67	41.09	0	147.4	0.05
-108.65	41.12	0	137	0.05
-108.76	41.06	0	134.9	0.05
-105.52	43.72	0	136.1	0.05
-105.41	43.62	0	102.3	0.05
-106.04	43.64	0	85.6	0.05
-105.6	43.85	0	99.3	0.05
-105.51	43.71	0	125.6	0.05
-105.54	43.8	0	139.5	0.05
-104.74	40.18	0	90.321	0.3
-104.75	40.16	0	113.832	0.3
-104.64	40.17	0	109.041	0.3
-104.73	40.17	0	83.1221	0.3
-104.66	40.22	0	106.38	0.3
-104.74	40.12	0	115.582	0.3
-104.76	40.12	0	110.819	0.3
-104.76	40.13	0	112.049	0.3
-104.76	40.13	0	108.88	0.3
-104.46	40.25	0	107.566	0.3
-104.91	40.01	0	123.202	0.3
-104.92	40.01	0	117.858	0.3
-104.94	40.23	0	0.8523	0.3
-104.64	40.16	0	112.668	0.3
-104.88	40.13	0	119.726	0.3
-104.97	40.07	0	111.943	0.3
-104.87	40.43	0	10.9527	0.3
-104.66	40.15	0	103.227	0.3
-104.66	40.15	0	103.253	0.3
-104.66	40.15	0	100.481	0.3
-104.64	40.13	0	103.105	0.3
-104.79	40.18	0	108.974	0.3
-104.39	40.46	0	116.932	0.3
-104.39	40.46	0	124.999	0.3
-104.74	40.18	0	86.5362	0.2
-104.73	40.19	0	121.792	0.2
-104.74	40.15	0	100.745	0.2
-104.75	40.16	0	116.409	0.2
-104.72	40.16	0	93.7422	0.2
-104.73	40.16	0	106.897	0.2
-104.73	40.16	0	105.462	0.2
-104.76	40.13	0	104.752	0.2
-104.95	40.41	0	178.324	0.2
-104.95	40.41	0	7.1404	0.2
-104.77	40.17	0	96.5137	0.2
-104.79	40.19	0	101.056	0.2
-104.87	40.43	0	179.332	0.2
-104.79	40.18	0	102.233	0.2
-104.77	40.19	0	96.6123	0.1
-104.73	40.19	0	102.937	0.1
-104.74	40.12	0	111.5	0.1
-104.94	40.22	0	179.367	0.1
-104.96	40.22	0	25.5387	0.1
-104.62	40.13	0	99.671	0.1
-104.72	40.12	0	106.601	0.1
-104.7	40.18	0	113.03	0.05
-104.74	40.15	0	104.1	0.05
-104.6	40.12	0	107.95	0.05
-104.76	40.13	0	102	0.05
-104.63	40.12	0	116.3	0.05
-104.94	40.22	0	-6.1996	0.05
-104.68	40.25	0	54.875	0.05
-104.39	40.46	0	140.019	0.05
-99.1	28.5	0	43.91	0.3
-98.2	35.7	0	74.4577	0.3
-98.3	35.6	0	75.967	0.3
-93.5	32.1	0	76.53	0.3
-98.2	28.8	0	64.775	0.3
-103.5	48.3	0	48.1555	0.3
-81.07	40.18	0	51.7	0.3
-80.9	39.6	0	54.2978	0.3
-93.5	32.2	0	70.27	0.3
-81	40	0	52.7	0.3
-103.3	31.3	0	131.046	0.3
-80.8	39.9	0	62.75	0.3
-81	40	0	48.533	0.3
-102.2	32.5	0	87.9	0.3
-80.2	39.9	0	53.1	0.3
-79.5	41.1	0	57.7	0.3
-80.3	39.9	0	56.1	0.3
-80.3	39.9	0	55.6	0.3
-101.5	31.8	0	69.9	0.3
-98.1	28.3	0	53.4	0.3
-99.8	28.3	0	41	0.3
-81.05	40.22	0	58.4376	0.3
-97.49	36.1	0	81.8007	0.3
-81.27	40.06	0	59.3832	0.3
-102.89	47.55	0	53.2881	0.3
-96.6	30.1	0	74.6	0.3
-103.5	32.2	0	73.4	0.3
-103.6	32.5	0	71	0.3
-103.3	31.3	0	136	0.3
-101.4	31.5	0	81.8	0.3
-103.1	31.6	0	77	0.3
-108.8	41	0	142.7	0.3
-104.96	40.42	0	6.12	0.3
-99	28.3	0	52.07	0.2
-99.8	28.2	0	44.89	0.2
-99.8	28.1	0	47.90558	0.2
-99.8	28.2	0	41.578	0.2
-97.2	29.4	0	49.89	0.2
-97.5	29.2	0	46.7	0.2
-97.8	28.9	0	43.56	0.2
-97.4	29.2	0	50.8453	0.2
-97.8	29	0	41.17	0.2
-97.8	29	0	42.5058	0.2
-97.8	29	0	41.416	0.2
-103.5	48.1	0	44.898	0.2
-103.5	48.1	0	44.99	0.2
-96.1	35.1	0	87.195	0.2
-99.8	27.9	0	37.566	0.2
-98.9	28.3	0	51.2887	0.2
-98.8	28.3	0	43.0605	0.2
-79.8	40.1	0	60.2	0.2
-103	33.2	0	127	0.2
-98.7	28.6	0	42.8	0.2
-80.3	40	0	53.9	0.2
-96.3	31	0	55.2	0.2
-97.7	36.1	0	62.5	0.2
-104.7	41.2	0	139.35	0.2
-77.12	41.74	0	53.5475	0.2
-109.62	42.41	0	140.778	0.2
-107.62	39.48	0	136.8	0.2
-108.5	41.4	0	163	0.2
-96.3	35	0	83.5	0.2
-92.6	32.5	0	65.6	0.2
-93.1	32.4	0	61.6	0.2
-103.4	30.9	0	134	0.2
-104.5	40.2	0	123.1	0.2
-104.6	40.1	0	120	0.2
-99.8	28.2	0	46.1	0.1
-99.5	28.1	0	37.31	0.1
-98	28.8	0	53.858	0.1
-99.6	28.3	0	40	0.1
-97.9	28.9	0	41.9375	0.1
-103	47.3	0	59.3064	0.1
-78.5	41.3	0	68	0.1
-80.2	40	0	52.5	0.1
-81.4	39.5	0	70	0.1
-80.3	40.2	0	50.4	0.1
-80.4	40.2	0	52	0.1
-103.1	32.6	0	78	0.1
-103	32.5	0	66	0.1
-100.8	35.9	0	100	0.1
-109.66	42.4	0	136.399	0.1
-102.1	31.5	0	115	0.1
-102.1	31.7	0	85	0.1
-97.4	35	0	68.6	0.1
-99.8	36	0	87.815	0.05
-102.97	47.99	0	40.56	0.2
-103.33	32.83	0	70	0.075
-103.48	33.48	0	115	0.075
-104.72	32.73	0	10	0.075
-97.52	32.43	0	20	0.075
-104.19	32.82	0	130	0.05
-104.19	32.82	0	105	0.05
-104.2	32.82	0	95	0.05
-101.68	31.22	0	67.5	0.05
-104.08	32.92	0	135	0.05
-100.07	33.07	0	5	0.05
-98.11	33.5	0	20	0.05
-99.31	35.31	0	97.5	0.05
-102.8	30.44	0	160	0.05
-103.95	31.51	0	70	0.05
-98.6	32.68	0	0	0.05
-103.63	32.85	0	165	0.05
-103.39	33.46	0	125	0.05
-98.09	33.5	0	35	0.05
-102.8	30.41	0	150	0.05
-103.5	33.58	0	90	0.05
-100.43	32.26	0	60	0.05
-103.48	32.33	0	70	0.05
-104.17	32.43	0	80	0.05
-104.06	32.5	0	135	0.05
-104.13	32.68	0	40	0.05
-104.72	32.72	0	5	0.05
-104.62	32.75	0	0	0.05
-104.6	32.75	0	0	0.05
-104.58	32.75	0	0	0.05
-98.8	32.76	0	25	0.05
-102.83	30.4	0	155	0.075
-102.78	31.08	0	130	0.075
-103.59	32.78	0	110	0.075
-104.21	32.79	0	105	0.075
-103.7	32.79	0	45	0.075
-104.23	32.8	0	135	0.075
-104.08	32.81	0	175	0.075
-104.1	32.81	0	157.5	0.075
-104.11	32.81	0	125	0.075
-104.12	32.81	0	115	0.075
-101.65	31.12	0	65	0.075
-104.09	32.82	0	135	0.075
-104	32.82	0	135	0.075
-104	32.82	0	135	0.075
-104.06	32.82	0	135	0.075
-104.32	32.82	0	160	0.075
-103.95	32.82	0	0	0.075
-103.85	32.83	0	135	0.075
-104.58	32.83	0	165	0.075
-103.87	32.83	0	130	0.075
-103.86	32.83	0	145	0.075
-103.34	32.83	0	90	0.075
-104.28	32.85	0	160	0.075
-104.51	32.85	0	145	0.075
-104.35	32.85	0	170	0.075
-104.28	32.87	0	60	0.075
-103.42	32.88	0	75	0.075
-104.27	32.88	0	160	0.075
